Airfoil: AG40d-02r fp20
Builder: M. Drela, et al.
Comment: Clean, Flap = 20°

Number of Reynolds #'s:
4

Average Reynolds #:
100077.5
Number of angles of attack:
17
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.27    0.164   0.0466   0.0516   0.0484   0.0477   0.0449   0.0442   0.0439   0.0445   0.0478
 -7.18    0.271   0.0454   0.0491   0.0466   0.0465   0.0441   0.0420   0.0432   0.0445   0.0476
 -6.28    0.353   0.0459   0.0484   0.0479   0.0470   0.0453   0.0431   0.0430   0.0456   0.0471
 -5.32    0.438   0.0482   0.0500   0.0490   0.0482   0.0478   0.0486   0.0489   0.0467   0.0463
 -4.20    0.523   0.0517   0.0542   0.0538   0.0523   0.0485   0.0502   0.0539   0.0508   0.0502
 -3.07    0.614   0.0532   0.0554   0.0539   0.0541   0.0530   0.0553   0.0544   0.0490   0.0508
 -2.08    0.705   0.0528   0.0558   0.0533   0.0513   0.0495   0.0520   0.0545   0.0547   0.0512
 -1.08    0.783   0.0543   0.0534   0.0567   0.0573   0.0519   0.0523   0.0580   0.0541   0.0503
 -0.17    0.853   0.0541   0.0484   0.0500   0.0545   0.0541   0.0581   0.0654   0.0567   0.0454
  0.84    0.983   0.0606   0.0623   0.0610   0.0633   0.0603   0.0592   0.0593   0.0588   0.0607
  1.99    1.193   0.0419   0.0459   0.0424   0.0452   0.0425   0.0388   0.0409   0.0400   0.0398
  2.95    1.300   0.0374   0.0379   0.0360   0.0380   0.0370   0.0342   0.0382   0.0387   0.0390
  3.94    1.308   0.0467   0.0462   0.0447   0.0475   0.0457   0.0457   0.0469   0.0478   0.0493
  4.93    1.312   0.0573   0.0612   0.0590   0.0580   0.0561   0.0539   0.0549   0.0571   0.0582
  6.07    1.356   0.0647   0.0681   0.0623   0.0640   0.0644   0.0639   0.0653   0.0641   0.0659
  6.95    1.389   0.0751   0.0764   0.0722   0.0743   0.0743   0.0721   0.0758   0.0772   0.0784
  8.02    1.423   0.1002   0.1041   0.0980   0.0994   0.0990   0.0992   0.1032   0.1005   0.0983
Tabulated from data in file 06892ga_interp.dat & reduced using program C10.20

Average Reynolds #:
199902.6
Number of angles of attack:
16
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -9.33    0.264   0.0391   0.0388   0.0380   0.0412   0.0393   0.0376   0.0381   0.0391   0.0406
 -8.27    0.360   0.0372   0.0366   0.0374   0.0394   0.0376   0.0356   0.0358   0.0368   0.0384
 -7.15    0.458   0.0383   0.0390   0.0382   0.0401   0.0392   0.0375   0.0373   0.0370   0.0378
 -6.17    0.527   0.0396   0.0394   0.0387   0.0409   0.0394   0.0389   0.0400   0.0399   0.0398
 -5.27    0.572   0.0409   0.0403   0.0396   0.0412   0.0398   0.0398   0.0411   0.0419   0.0437
 -4.20    0.644   0.0443   0.0437   0.0438   0.0458   0.0447   0.0432   0.0445   0.0443   0.0440
 -3.24    0.708   0.0474   0.0464   0.0473   0.0490   0.0477   0.0460   0.0470   0.0487   0.0469
 -2.23    0.789   0.0497   0.0489   0.0497   0.0494   0.0488   0.0483   0.0508   0.0521   0.0500
 -1.23    0.839   0.0475   0.0485   0.0465   0.0489   0.0451   0.0480   0.0477   0.0468   0.0488
 -0.04    1.005   0.0491   0.0510   0.0479   0.0511   0.0478   0.0474   0.0502   0.0480   0.0497
  0.92    1.243   0.0349   0.0354   0.0351   0.0342   0.0315   0.0351   0.0358   0.0341   0.0377
  2.03    1.287   0.0319   0.0326   0.0324   0.0352   0.0292   0.0316   0.0320   0.0310   0.0311
  2.94    1.304   0.0389   0.0405   0.0391   0.0412   0.0379   0.0376   0.0395   0.0373   0.0383
  4.03    1.332   0.0472   0.0482   0.0473   0.0484   0.0480   0.0459   0.0467   0.0470   0.0462
  4.93    1.362   0.0530   0.0555   0.0532   0.0535   0.0524   0.0517   0.0527   0.0523   0.0526
  6.07    1.418   0.0616   0.0656   0.0604   0.0614   0.0606   0.0613   0.0611   0.0604   0.0619
Tabulated from data in file 06894ga_interp.dat & reduced using program C10.20

Average Reynolds #:
299482.0
Number of angles of attack:
17
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -10.28    0.362   0.0161   0.0166   0.0161   0.0163   0.0161   0.0152   0.0158   0.0166   0.0163
 -9.14    0.489   0.0142   0.0148   0.0150   0.0141   0.0135   0.0133   0.0136   0.0154   0.0140
 -8.14    0.595   0.0135   0.0133   0.0136   0.0135   0.0137   0.0129   0.0131   0.0142   0.0141
 -7.17    0.689   0.0135   0.0131   0.0137   0.0137   0.0135   0.0129   0.0133   0.0138   0.0140
 -6.10    0.691   0.0285   0.0277   0.0282   0.0307   0.0287   0.0283   0.0277   0.0280   0.0287
 -5.12    0.766   0.0329   0.0322   0.0324   0.0347   0.0343   0.0319   0.0330   0.0326   0.0322
 -4.15    0.771   0.0393   0.0365   0.0362   0.0416   0.0415   0.0395   0.0398   0.0389   0.0402
 -3.03    0.805   0.0452   0.0418   0.0425   0.0477   0.0470   0.0443   0.0463   0.0452   0.0469
 -2.08    0.856   0.0462   0.0486   0.0459   0.0495   0.0448   0.0439   0.0469   0.0443   0.0461
 -1.10    0.960   0.0462   0.0462   0.0446   0.0500   0.0446   0.0444   0.0476   0.0451   0.0474
 -0.01    1.202   0.0375   0.0405   0.0368   0.0379   0.0361   0.0341   0.0351   0.0379   0.0417
  1.00    1.247   0.0288   0.0292   0.0292   0.0322   0.0255   0.0268   0.0321   0.0261   0.0295
  1.90    1.275   0.0336   0.0346   0.0342   0.0368   0.0309   0.0316   0.0349   0.0319   0.0338
  3.08    1.310   0.0405   0.0423   0.0409   0.0423   0.0396   0.0386   0.0400   0.0411   0.0389
  4.07    1.361   0.0457   0.0471   0.0454   0.0465   0.0458   0.0432   0.0459   0.0464   0.0455
  4.97    1.404   0.0506   0.0520   0.0499   0.0515   0.0513   0.0493   0.0502   0.0503   0.0507
  6.05    1.454   0.0581   0.0607   0.0569   0.0586   0.0578   0.0566   0.0578   0.0580   0.0580
Tabulated from data in file 06896gw_interp.dat & reduced using program C10.20

Average Reynolds #:
399591.3
Number of angles of attack:
17
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -10.15    0.396   0.0140   0.0140   0.0139   0.0144   0.0139   0.0137   0.0131   0.0145   0.0142
 -9.17    0.506   0.0128   0.0127   0.0125   0.0129   0.0126   0.0128   0.0124   0.0136   0.0130
 -8.10    0.625   0.0120   0.0118   0.0121   0.0121   0.0122   0.0115   0.0116   0.0123   0.0124
 -7.19    0.714   0.0115   0.0112   0.0117   0.0115   0.0119   0.0110   0.0115   0.0115   0.0118
 -6.16    0.820   0.0114   0.0111   0.0114   0.0120   0.0119   0.0107   0.0116   0.0114   0.0114
 -5.05    0.925   0.0119   0.0114   0.0115   0.0131   0.0121   0.0111   0.0126   0.0115   0.0115
 -3.95    1.000   0.0126   0.0121   0.0120   0.0140   0.0126   0.0120   0.0133   0.0125   0.0122
 -2.98    0.913   0.0378   0.0373   0.0368   0.0406   0.0377   0.0378   0.0386   0.0367   0.0374
 -2.08    0.969   0.0413   0.0416   0.0419   0.0436   0.0404   0.0399   0.0417   0.0402   0.0410
 -0.94    1.152   0.0362   0.0379   0.0358   0.0368   0.0351   0.0351   0.0377   0.0353   0.0363
 -0.02    1.192   0.0268   0.0287   0.0273   0.0319   0.0225   0.0241   0.0283   0.0244   0.0275
  0.95    1.218   0.0309   0.0317   0.0326   0.0346   0.0273   0.0278   0.0332   0.0289   0.0313
  1.90    1.259   0.0358   0.0369   0.0369   0.0393   0.0337   0.0333   0.0371   0.0337   0.0356
  2.99    1.313   0.0409   0.0433   0.0410   0.0422   0.0402   0.0395   0.0408   0.0395   0.0408
  3.93    1.363   0.0454   0.0476   0.0459   0.0453   0.0444   0.0441   0.0452   0.0456   0.0452
  5.04    1.425   0.0508   0.0529   0.0502   0.0510   0.0507   0.0494   0.0505   0.0505   0.0511
  6.13    1.474   0.0576   0.0605   0.0569   0.0578   0.0576   0.0556   0.0572   0.0577   0.0575
Tabulated from data in file 06898gw_interp.dat & reduced using program C10.20

File ag40d_fp20_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:53
