Airfoil: W1015-20 fp50
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 50°

Number of Reynolds #'s:
1

Average Reynolds #:
199964.0
Number of angles of attack:
10
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.30    0.416   0.1136   0.1184   0.1150   0.1163   0.1132   0.1110   0.1104   0.1111   0.1138
 -6.28    0.599   0.1157   0.1232   0.1149   0.1172   0.1147   0.1123   0.1140   0.1132   0.1162
 -4.08    0.793   0.1144   0.1186   0.1133   0.1134   0.1109   0.1097   0.1136   0.1159   0.1196
 -1.97    0.954   0.1134   0.1180   0.1077   0.1116   0.1119   0.1129   0.1146   0.1142   0.1160
 -0.00    1.099   0.1228   0.1277   0.1208   0.1246   0.1205   0.1186   0.1184   0.1243   0.1279
  2.07    1.258   0.1204   0.1214   0.1180   0.1222   0.1189   0.1165   0.1203   0.1214   0.1243
  4.13    1.418   0.1208   0.1213   0.1198   0.1241   0.1192   0.1184   0.1203   0.1200   0.1228
  6.18    1.579   0.1224   0.1276   0.1234   0.1242   0.1206   0.1178   0.1208   0.1205   0.1246
  8.20    1.729   0.1290   0.1405   0.1334   0.1353   0.1267   0.1253   0.1236   0.1233   0.1237
 10.15    1.841   0.1380   0.1470   0.1431   0.1437   0.1387   0.1340   0.1326   0.1313   0.1334
Tabulated from data in file 07249gw_interp.dat & reduced using program C10.20

File w1015-20_fp50_drag.dat created using program clcm dist V1.1 on 30-Mar-2012 09:46:55
