Airfoil: W1015-20 fp5
Builder: S. Cassidy
Comment: Clean, Cf/C = 20%, Flap = 5°

Number of Reynolds #'s:
2

Average Reynolds #:
200180.1
Number of angles of attack:
23
 alpha  /   Cl   /  Cd   /  Spanwise Cd's >>>
 -8.22   -0.586   0.0182   0.0175   0.0153   0.0251   0.0155   0.0166   0.0231   0.0149   0.0178
 -7.18   -0.490   0.0168   0.0152   0.0145   0.0225   0.0134   0.0158   0.0218   0.0135   0.0176
 -6.37   -0.419   0.0163   0.0154   0.0147   0.0202   0.0136   0.0158   0.0196   0.0133   0.0177
 -5.16   -0.320   0.0158   0.0159   0.0153   0.0182   0.0146   0.0149   0.0170   0.0142   0.0166
 -4.12   -0.232   0.0151   0.0151   0.0140   0.0180   0.0138   0.0141   0.0163   0.0136   0.0163
 -3.26   -0.158   0.0149   0.0147   0.0135   0.0174   0.0139   0.0145   0.0160   0.0134   0.0156
 -2.19   -0.056   0.0146   0.0145   0.0130   0.0183   0.0125   0.0143   0.0165   0.0140   0.0135
 -1.22    0.072   0.0141   0.0150   0.0132   0.0158   0.0136   0.0136   0.0153   0.0134   0.0129
 -0.12    0.203   0.0123   0.0129   0.0118   0.0136   0.0113   0.0122   0.0119   0.0128   0.0116
  1.06    0.310   0.0130   0.0130   0.0139   0.0125   0.0141   0.0135   0.0121   0.0124   0.0123
  1.88    0.387   0.0135   0.0125   0.0149   0.0120   0.0147   0.0150   0.0127   0.0128   0.0133
  2.91    0.480   0.0143   0.0132   0.0162   0.0124   0.0168   0.0148   0.0129   0.0141   0.0138
  4.09    0.594   0.0152   0.0150   0.0156   0.0150   0.0168   0.0146   0.0148   0.0152   0.0145
  5.06    0.688   0.0165   0.0162   0.0167   0.0178   0.0172   0.0159   0.0160   0.0163   0.0158
  6.18    0.794   0.0185   0.0177   0.0182   0.0207   0.0193   0.0183   0.0185   0.0178   0.0178
  7.05    0.867   0.0204   0.0197   0.0199   0.0228   0.0211   0.0199   0.0208   0.0195   0.0196
  8.18    0.961   0.0230   0.0220   0.0223   0.0252   0.0237   0.0227   0.0241   0.0219   0.0220
  9.23    1.037   0.0255   0.0243   0.0250   0.0276   0.0259   0.0252   0.0271   0.0243   0.0246
 10.16    1.104   0.0278   0.0266   0.0270   0.0294   0.0279   0.0274   0.0295   0.0271   0.0272
 11.24    1.177   0.0310   0.0300   0.0306   0.0317   0.0305   0.0309   0.0333   0.0307   0.0305
