Caso,Modelo CVAE,CL_Obj,CL_SurrNum,Delta_CL_Num,CD_Obj,CD_SurrNum,Delta_CD_Num,L/D_Num,CL_SurrHyb,CD_SurrHyb,L/D_Hyb,t/c_Real
Crucero Eficiente,Exp 1 (DIPAS Base),0.5,0.5659768,0.0659768,0.012,0.011750837,0.00024916325,48.164806,0.562332,0.01170831,48.02845,0.11065566999664153
Crucero Eficiente,Exp 2 (Transfer Learning),0.5,0.5912045,0.091204524,0.012,0.01175379,0.00024621002,50.299053,0.6032956,0.011526477,52.339985,0.10987815087462154
Crucero Eficiente,Exp 3 (TL + UIUC),0.5,0.56640935,0.06640935,0.012,0.011761738,0.00023826212,48.156944,0.5669597,0.012012804,47.19628,0.1130826782318991
Alta Sustentacion / Ascenso,Exp 1 (DIPAS Base),0.85,0.64996046,0.20003957,0.018,0.0139671555,0.0040328437,46.53492,0.65504044,0.0142650325,45.919308,0.11866455889247986
Alta Sustentacion / Ascenso,Exp 2 (Transfer Learning),0.85,0.7202035,0.1297965,0.018,0.01390689,0.0040931096,51.787533,0.7349037,0.01410704,52.09482,0.12009334307893704
Alta Sustentacion / Ascenso,Exp 3 (TL + UIUC),0.85,0.81073236,0.03926766,0.018,0.014026538,0.0039734617,57.799892,0.8373355,0.013734575,60.96552,0.1205544099370988
Bajo Arrastre / Alta Velocidad,Exp 1 (DIPAS Base),0.3,0.36067355,0.060673535,0.009,0.009235174,0.00023517478,39.05433,0.36563876,0.010526986,34.73347,0.08962447216541883
Bajo Arrastre / Alta Velocidad,Exp 2 (Transfer Learning),0.3,0.34474912,0.04474911,0.009,0.009206567,0.00020656735,37.446003,0.35549697,0.010684629,33.271812,0.0900332914401504
Bajo Arrastre / Alta Velocidad,Exp 3 (TL + UIUC),0.3,0.3564288,0.05642879,0.009,0.009167053,0.0001670532,38.881504,0.36360285,0.010720576,33.91635,0.09162945946921561
Régimen Critico (Re bajo),Exp 1 (DIPAS Base),0.65,0.71643275,0.066432774,0.016,0.01674423,0.0007442292,42.786842,0.72636837,0.01233195,58.90134,0.09790684492051595
Régimen Critico (Re bajo),Exp 2 (Transfer Learning),0.65,0.7137724,0.06377244,0.016,0.016120858,0.00012085773,44.27633,0.74457407,0.012255347,60.755035,0.09928915421561543
Régimen Critico (Re bajo),Exp 3 (TL + UIUC),0.65,0.7256583,0.07565832,0.016,0.016275827,0.00027582608,44.585033,0.7463211,0.01248119,59.795666,0.1011553351042297
